Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF","C_0603_1608Metric","139.2000","-123.5000","0.0000","top"
"C10","0.1u","C_0603_1608Metric","168.2241","-100.7872","0.0000","top"
"C11","0.1u","C_0603_1608Metric","172.0088","-97.6376","180.0000","top"
"C12","0.1u","C_0603_1608Metric","172.0088","-100.7872","180.0000","top"
"C13","0.1u","C_0603_1608Metric","178.5000","-101.4500","90.0000","top"
"C14","0.1u","C_0603_1608Metric","154.3304","-119.4816","270.0000","top"
"C15","0.1u","C_0603_1608Metric","163.8554","-112.9538","0.0000","top"
"C16","4.7u","C_0603_1608Metric","159.9565","-118.9990","270.0000","top"
"C17","4.7u","C_0603_1608Metric","163.8426","-107.4166","0.0000","top"
"C18","0.1u","C_0603_1608Metric","161.5440","-118.9990","270.0000","top"
"C19","0.1u","C_0603_1608Metric","163.8426","-105.8291","0.0000","top"
"C2","4.7uF","C_0603_1608Metric","142.9258","-122.0216","270.0000","top"
"C20","100p","C_0603_1608Metric","168.2241","-99.2124","0.0000","top"
"C21","10p","C_0603_1608Metric","168.2241","-97.6376","0.0000","top"
"C22","0.1u","C_0603_1608Metric","156.3751","-107.3912","0.0000","top"
"C3","0.1u","C_0603_1608Metric","150.2918","-119.9134","90.0000","top"
"C4","0.1u","C_0603_1608Metric","139.2000","-119.0000","180.0000","top"
"C5","100u","C_1206_3216Metric","152.3492","-118.9990","270.0000","top"
"C6","100u","C_1206_3216Metric","160.7312","-113.0300","90.0000","top"
"C7","0.1u","C_0603_1608Metric","156.3624","-105.8418","0.0000","top"
"C8","0.1u","C_0603_1608Metric","165.4810","-119.6340","180.0000","top"
"C9","0.1u","C_0603_1608Metric","163.1315","-118.9990","90.0000","top"
"D1","LED_Green","LED_0805_2012Metric","148.6408","-123.4671","270.0000","top"
"Q1","2N7002","SOT-23","156.3751","-111.4806","180.0000","top"
"R1","22","R_0603_1608Metric","156.3751","-108.9406","180.0000","top"
"R10","10k","R_0603_1608Metric","151.6888","-97.2820","0.0000","top"
"R11","10k","R_0603_1608Metric","168.2241","-102.3620","0.0000","top"
"R12","5.6k","R_0603_1608Metric","160.0911","-107.3531","180.0000","top"
"R13","470R","R_0603_1608Metric","150.4188","-123.4185","90.0000","top"
"R14","510R","R_0603_1608Metric","139.2000","-120.5000","180.0000","top"
"R15","5k","R_0603_1608Metric","139.2000","-122.0000","180.0000","top"
"R16","1M","R_0603_1608Metric","144.1900","-95.8595","0.0000","top"
"R17","220k","R_0603_1608Metric","144.1900","-97.4595","180.0000","top"
"R18","2.2K","R_0603_1608Metric","172.0088","-99.2124","180.0000","top"
"R19","2.2K","R_0603_1608Metric","139.1920","-117.5385","0.0000","top"
"R2","1k","R_0603_1608Metric","160.0911","-105.8291","0.0000","top"
"R20","2.2K","R_0603_1608Metric","163.8554","-114.5286","0.0000","top"
"R21","10k","R_0603_1608Metric","156.3751","-114.0206","0.0000","top"
"R22","1M","R_0603_1608Metric","156.3751","-115.5446","180.0000","top"
"R3","1k","R_0603_1608Metric","168.2241","-103.9368","0.0000","top"
"R4","470R","R_0603_1608Metric","166.3700","-122.6820","270.0000","top"
"R5","0R","R_0402_1005Metric","153.5430","-92.7632","270.0000","top"
"R6","1k","R_0603_1608Metric","172.0341","-103.9368","0.0000","top"
"R7","1k","R_0603_1608Metric","172.0341","-102.3620","0.0000","top"
"R8","10k","R_0603_1608Metric","166.1160","-125.3490","0.0000","top"
"R9","10k","R_0603_1608Metric","153.8985","-125.2855","180.0000","top"
"U1","DS3231MZ","SOIC-8_3.9x4.9mm_P1.27mm","178.1000","-97.2000","0.0000","top"
"U10","XC6209","SOT-23-5","157.0990","-118.8720","0.0000","top"
"U11","MCP73831T-2ACI_OT","SOT-23-5","145.5500","-122.4500","270.0000","top"
"U12","USBLC6-2SC6","SOT-23-6","157.0990","-122.6820","180.0000","top"
"U13","XC6209","SOT-23-5","163.8681","-110.1471","90.0000","top"
"U2","BMA400","LGA-12_2x2mm_P0.5mm","180.7000","-101.6000","0.0000","top"
"U3","BMP280","Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering","175.9500","-101.6000","180.0000","top"
"U6","CH340E","MSOP-10_3x3mm_P0.5mm","162.3060","-122.6820","0.0000","top"
"U8","Quectel_L96","Quectel_L96","160.0000","-96.2500","0.0000","top"
"U9","TPS2115A","TSSOP-8_4.4x3mm_P0.65mm","145.4404","-118.5000","0.0000","top"
