Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF","C_0603_1608Metric","70.6373","-112.9792","0.0000","top"
"C11","0.1u","C_0603_1608Metric","71.5645","-86.1060","90.0000","top"
"C12","0.1u","C_0603_1608Metric","82.4229","-91.7448","180.0000","top"
"C13","0.1u","C_0603_1608Metric","76.6572","-90.8812","90.0000","top"
"C14","0.1u","C_0603_1608Metric","73.7108","-98.2472","0.0000","top"
"C15","0.1u","C_0603_1608Metric","69.0880","-98.2472","0.0000","top"
"C16","4.7u","C_0603_1608Metric","73.8886","-92.7735","0.0000","top"
"C17","4.7u","C_0603_1608Metric","69.1895","-92.7735","0.0000","top"
"C18","0.1u","C_0603_1608Metric","73.8886","-91.1860","0.0000","top"
"C19","0.1u","C_0603_1608Metric","69.1895","-91.1860","0.0000","top"
"C2","4.7uF","C_0603_1608Metric","70.6374","-107.4420","0.0000","top"
"C22","0.1u","C_0603_1608Metric","63.1190","-100.7110","270.0000","top"
"C3","0.1u","C_0603_1608Metric","73.7234","-107.4420","0.0000","top"
"C4","0.1u","C_0603_1608Metric","64.4652","-106.7816","180.0000","top"
"C5","100u","C_1206_3216Metric","72.9204","-100.1776","0.0000","top"
"C6","100u","C_1206_3216Metric","68.2752","-100.1776","0.0000","top"
"C8","0.1u","C_0603_1608Metric","89.0269","-93.2180","180.0000","top"
"C9","0.1u","C_0603_1608Metric","86.3092","-111.7600","0.0000","top"
"D1","LED_Green","LED_0805_2012Metric","67.7672","-109.5248","0.0000","top"
"Q1","2N7002","SOT-23","61.7728","-96.6216","0.0000","top"
"R1","22","R_0603_1608Metric","64.3128","-95.9104","270.0000","top"
"R10","10k","R_0603_1608Metric","63.2460","-91.6432","180.0000","top"
"R11","10k","R_0603_1608Metric","89.0269","-91.6432","0.0000","top"
"R13","470R","R_0603_1608Metric","67.5640","-111.5060","0.0000","top"
"R14","510R","R_0603_1608Metric","70.6120","-102.1588","180.0000","top"
"R15","5k","R_0603_1608Metric","67.5259","-107.4420","180.0000","top"
"R16","1M","R_0603_1608Metric","63.3476","-108.3564","0.0000","top"
"R17","220k","R_0603_1608Metric","63.3476","-109.9312","180.0000","top"
"R18","2.2K","R_0603_1608Metric","71.5645","-89.2175","270.0000","top"
"R19","2.2K","R_0603_1608Metric","73.7108","-102.1588","0.0000","top"
"R21","10k","R_0603_1608Metric","61.5442","-100.6855","270.0000","top"
"R22","1M","R_0603_1608Metric","59.8932","-100.7110","90.0000","top"
"R4","470R","R_0603_1608Metric","86.3092","-110.1090","0.0000","top"
"R6","1k","R_0603_1608Metric","82.4484","-90.1700","180.0000","top"
"R7","1k","R_0603_1608Metric","79.3749","-90.1700","0.0000","top"
"R8","10k","R_0603_1608Metric","89.5096","-110.0836","180.0000","top"
"R9","10k","R_0603_1608Metric","63.3221","-111.5060","180.0000","top"
"U1","DS3231MZ","SOIC-8_3.9x4.9mm_P1.27mm","76.1365","-86.6648","0.0000","top"
"U10","XC6209","SOT-23-5","73.4060","-95.5040","90.0000","top"
"U11","MCP73831T-2ACI_OT","SOT-23-5","71.4248","-110.2360","270.0000","top"
"U13","XC6209","SOT-23-5","68.7832","-95.5040","90.0000","top"
"U2","BMA400","LGA-12_2x2mm_P0.5mm","79.1845","-92.5830","270.0000","top"
"U3","BMP280","Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering","85.7504","-92.4560","90.0000","top"
"U6","CH340E","MSOP-10_3x3mm_P0.5mm","81.4832","-111.9124","0.0000","top"
"U9","TPS2115A","TSSOP-8_4.4x3mm_P0.65mm","71.3232","-104.8004","180.0000","top"
